expediente,anio,bloque,tipo_proyecto,tema
110-HCD-2019,2019,partido justicialista,resolucion,"el h.c.d. expresa su beneplacito a la iniciativa del proyecto de la denominada ""ley malvinas"".-"
112-HCD-2019,2019,partido justiciallsta,ordenanza,creando en el ambito de la municipalidad el comite interno distrital.-
113-HCD-2019,2019,partido justiciallsta,ordenanza,"modificando el sentido de circulacion vehicular de la calle actis, en su interseccion con las calles monsenor magliano y san vladimiro, de la ciudad de martinez.-"
114-HCD-2019,2019,partido justicialista,comunicacion,"s/ incluir en el plan municipal de repavimentacion y/o bacheo a la calle ingeniero marconi, de la ciudad de beccar.-"
116-HCD-2019,2019,frente renovador,ordenanza,"estableciendo en el territorio municipal el caracter de ""practica abusiva"" contraria al ""trato digno"" al consumido o al usuario.-"
117-HCD-2019,2019,frente renovador,comunicacion,"s/ incrementar el patrullaje en las periferias de la escuela secundaria n 12, de la ciudad 9 de san isidro.-"
121-HCD-2019,2019,convocacion por san isidro,comunicacion,s/ informes relacionado con la 6ta edicion del festival lollapalooza.-
122-HCD-2019,2019,convocacion por sa isidro,ordenanza,"ordenando realizar acciones necesarias para garantizar el libre transito de personas con movilidad reducida por el cruce bajo nivel de la calle florencio varela, de la ciudad de beccar.-"
123-HCD-2019,2019,convocacion por san isidro,comunicacion,"s/ un informe relacionado a la obra en construccion sobre la calle sebastian elcano al 1924, de este partido.-"
124-HCD-2019,2019,convocacion por san isidro,comunicacion,"s/ la instalacion de un semaforo peatonal en la calle el resero y jose maria moreno, de la ciudad de villa adelina.-"
126-HCD-2019,2019,unidad ciudadana,decreto,"el h.cd. declara de interes el ""via crucis en la cava"".-"
127-HCD-2019,2019,unidad ciudadana,comunicacion,s/ un informe relacionado con la comunicacion nº 70/18.-
128-HCD-2019,2019,unidad ciudadana,comunicacion,s/ un informe relacionado con lo acontecido el dia 23 de marzo de 2019 en el barrio de la cava.-
129-HCD-2019,2019,unidad ciudadana,resolucion,el h.cd. expresa preocupacion por la situacion del barrio puerto de san isidro.-
141-HCD-2019,2019,pro san isidro - camiliemos,comunicacion,"s/ la incorporacion en el co.u., el requisito de colocar una linea transversal al transito peatonal de baldosas ""podotactiles"".,"
161-HCD-2019,2019,unidad cjudadana,comunicacion,"s/ informes relacionadas con la calle carlos tejedor, entre las calles patagonia y curruchaga, de la ciudad de boulogne.-"
162-HCD-2019,2019,unidad cjudadana,comunicacion,s/ informes relacionados con el certificado medico oficial digital.-
