anio,bloque,orden,concepto,medida,monto,fuente
2025,gastos_por_programa,1.1.1.01.07.000 - 46,GESTION OPERATIVA DE LA SEGURIDAD MUNICIPAL,devengado,15301632123.02,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.07.000 - 47,FORMACION Y DOCENCIA PARA LA SEGURIDAD URBANA,devengado,38670108.52,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.07.000 - 48,DEFENSA CIVIL,devengado,325707338.13,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.07.000 - 57,FONDO MUNIC.DE FORTALECIM. DE LA SEGURIDAD,devengado,1466028503.54,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.000 - 19,SERVICIO DE LIMPIEZA DEL MUNICIPIO,devengado,49270113057.86,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.000 - 21,PREVENCION DE LA ZOONOSIS,devengado,478834037.19,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.001 - 20,CONTROL DE VECTORES Y SERV. DE DESINFECCION,devengado,228760493.57,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.001 - 23,MANTENIMIENTO Y REPOSICION DEL ARBOLADO PUBLICO,devengado,7406224850.59,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.001 - 24,MANTENIMIENTO DE LOS CEMENTERIOS MUNICIPALES,devengado,844659007.48,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.001 - 49,MANTENIMIENTO Y EMBELLECIMIENTO DEL MUNICIPIO,devengado,14654788589.44,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.002 - 26,GESTION DE LA POLITICA DE MOVILIDAD,devengado,4687565674.51,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.002 - 27,SEMAFORIZACION Y SEÑALAMIENTO VIAL,devengado,1654162406.41,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.003 - 28,FORMULACION Y EJECUCION DE LAS OBRAS PUBLICAS,devengado,4022778122.04,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.003 - 30,INFRAESTRUCTURA HIDRAULICA Y PLUVIAL,devengado,3155501322.14,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.003 - 32,INFRAESTRUCTURA EDUCATIVA,devengado,130038480.00,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.003 - 33,INFRAESTRUCTURA HABITACIONAL,devengado,335387189.32,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.08.003 - 35,CONSTRUCCION DE INFRAESTRUCTURA DEPORTIVA,devengado,2688842043.13,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.09.001 - 40,ASISTENCIA SOCIAL A PERSONAS / FAMILIAS,devengado,2576201433.45,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.09.001 - 41,ASIST. A PERSONAS CON DISCAPACIDAD Y CONTENCION FLIAR,devengado,65940164.09,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.09.001 - 42,ABORDAJE A BARRIOS POPULARES,devengado,159295234.00,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.09.001 - 43,ABORDAJE DE LAS ADICCIONES,devengado,28354162.22,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.09.003 - 45,PROMOCION Y DESARROLLO DEL DEPORTE MUNICIPAL,devengado,1124425152.90,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.10.000 - 35,PRIMERA INFANCIA,devengado,950077082.75,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.10.001 - 36,DESARROLLO DE LA EDUCACION,devengado,2672841872.04,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.10.001 - 37,FONDO EDUCATIVO,devengado,3931014306.67,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.10.002 - 38,PROMOCION Y DESARROLLO DE LA CULTURA Y TURISMO,devengado,1360428014.72,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.10.003 - 39,APOYO Y PROMOCION AL EMPLEO,devengado,170314500.62,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.11.000 - 51,DELEGACIONES MUNICIPALES,devengado,1226345945.78,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.11.000 - 52,DEFENSA DEL CONSUMIDOR,devengado,320785232.83,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.11.000 - 53,AGENCIA DE FISCALIZACION Y CONTROL,devengado,2216003645.85,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.11.000 - 54,JUZGADO DE FALTAS,devengado,726703843.49,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.11.000 - 55,RELACIONES CON LA COMUNIDAD,devengado,2492910535.30,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.13.000 - 16,SERVICIOS HOSPITALARIOS DE SALUD,devengado,65659014059.79,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,1.1.1.01.13.000 - 17,ATENCION PRIMARIA DE LA SALUD,devengado,4796306547.54,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,,Actividades Centrales,devengado,71956061529.76,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,,Actividades Centrales,devengado,4571068290.21,situacion_economico_financiera_2025_anual.pdf
2025,gastos_por_programa,,Partidas no asignables a programas,devengado,14898030035.79,situacion_economico_financiera_2025_anual.pdf
