anio,trimestre,fecha_corte,codigo,concepto,saldo,amortiz_ej1,intereses_ej1,amortiz_ej2,intereses_ej2,amortiz_ej3,intereses_ej3,amortiz_resto,intereses_resto,deuda_vencida_impaga,fuente,coef_deflactor,base_coef,monto_constante_dic2025,saldo_const_dic2025,amortiz_ej1_const_dic2025,intereses_ej1_const_dic2025,amortiz_ej2_const_dic2025,intereses_ej2_const_dic2025,amortiz_ej3_const_dic2025,intereses_ej3_const_dic2025,amortiz_resto_const_dic2025,intereses_resto_const_dic2025,deuda_vencida_impaga_const_dic2025
2025,IV,30/12/2025,1.1,ORGANISMOS PUBLICOS PROVINCIALES,2923249895.00,2923249895.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",2923249895.00,2923249895.00,2923249895.00,,,,,,,,
2025,IV,30/12/2025,1.1.3,I.P.S. (**),2099780509.00,2099780509.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",2099780509.00,2099780509.00,2099780509.00,,,,,,,,
2025,IV,30/12/2025,1.1.4,I.O.M.A.(**),823469386.00,823469386.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",823469386.00,823469386.00,823469386.00,,,,,,,,
2025,IV,30/12/2025,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",0.00,0.00,0.00,,,,,,,,
2025,IV,30/12/2025,1.3,BANCOS,0.00,0.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",0.00,0.00,0.00,,,,,,,,
2025,IV,30/12/2025,1.4,EMPRESAS,464894519.00,464894519.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",464894519.00,464894519.00,464894519.00,,,,,,,,
2025,IV,30/12/2025,1.4.2,PROVEEDORES (CEAMSE) (***),464894519.00,464894519.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",464894519.00,464894519.00,464894519.00,,,,,,,,
2025,IV,30/12/2025,1.6,OTRAS DEUDAS,1595839979.00,0.00,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",1595839979.00,1595839979.00,0.00,,,,,,,,
2025,IV,30/12/2025,2,Saldo de Deuda Flotante,3976344105.00,,,,,,,,,,2025_iv_stock_de_deuda.pdf,1.00000000,"stock al 30/12/2025, indice de 2025-12",3976344105.00,3976344105.00,,,,,,,,,
2026,I,31/3/2026,1,DEUDA CONSOLIDADA,4686507179.00,3217638550.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",4282172070.43,4282172070.43,2940032182.88,,,,,,,,
2026,I,31/3/2026,1.1,ORGANISMOS PUBLICOS PROVINCIALES,2747049301.00,2747049301.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",2510043694.28,2510043694.28,2510043694.28,,,,,,,,
2026,I,31/3/2026,1.1.3,I.P.S. (**),1965007375.00,1965007375.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",1795473553.76,1795473553.76,1795473553.76,,,,,,,,
2026,I,31/3/2026,1.1.4,I.O.M.A.(**),782041926.00,782041926.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",714570140.51,714570140.51,714570140.51,,,,,,,,
2026,I,31/3/2026,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",0.00,0.00,0.00,,,,,,,,
2026,I,31/3/2026,1.3,BANCOS,0.00,0.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",0.00,0.00,0.00,,,,,,,,
2026,I,31/3/2026,1.4,EMPRESAS,470589250.00,470589250.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",429988489.51,429988489.51,429988489.51,,,,,,,,
2026,I,31/3/2026,1.4.2,PROVEEDORES (CEAMSE) (***),470589250.00,470589250.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",429988489.51,429988489.51,429988489.51,,,,,,,,
2026,I,31/3/2026,1.6,OTRAS DEUDAS,1468868628.00,0.00,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",1342139886.64,1342139886.64,0.00,,,,,,,,
2026,I,31/3/2026,2,Saldo de Deuda Flotante,17632414135.00,,,,,,,,,,2026_i_stock_de_deuda.pdf,0.91372357,"stock al 31/3/2026, indice de 2026-03",16111152391.15,16111152391.15,,,,,,,,,
2026,II,30/6/2026,1,DEUDA CONSOLIDADA,5926704701.00,4590507380.00,,,,,,,,,2026_ii_stock_de_deuda.pdf,0.85582787,"stock al 30/6/2026, indice de 2026-06",5072239060.38,5072239060.38,3928684153.24,,,,,,,,
2026,II,30/6/2026,1.1,ORGANISMOS PUBLICOS PROVINCIALES,3110475800.00,3110475800.00,,,,,,,,,2026_ii_stock_de_deuda.pdf,0.85582787,"stock al 30/6/2026, indice de 2026-06",2662031878.60,2662031878.60,2662031878.60,,,,,,,,
2026,II,30/6/2026,1.1.3,I.P.S. (**),2234426055.00,2234426055.00,,,,,,,,,2026_ii_stock_de_deuda.pdf,0.85582787,"stock al 30/6/2026, indice de 2026-06",1912284091.32,1912284091.32,1912284091.32,,,,,,,,
2026,II,30/6/2026,1.1.4,I.O.M.A.(**),876049745.00,876049745.00,,,,,,,,,2026_ii_stock_de_deuda.pdf,0.85582787,"stock al 30/6/2026, indice de 2026-06",749747787.28,749747787.28,749747787.28,,,,,,,,
2026,II,30/6/2026,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2026_ii_stock_de_deuda.pdf,0.85582787,"stock al 30/6/2026, indice de 2026-06",0.00,0.00,0.00,,,,,,,,
2026,II,30/6/2026,1.3,BANCOS,1000000000.00,1000000000.00,,,,,,,,,2026_ii_stock_de_deuda.pdf,0.85582787,"stock al 30/6/2026, indice de 2026-06",855827870.00,855827870.00,855827870.00,,,,,,,,
